Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2003,W,COMM,297,,201,CAP MKTS & INST,"Freedman, Ruth",97,74.91,10.19,95,49,92,4,0,0,1,0,0,0,0,4,4,0,5,3,7,12,13,17,21,10,4,,,
UBC,2003,W,COMM,475,,201,INVEST POLICY,"Freedman, Ruth",35,82.74,7.62,93,62,35,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,6,15,5,,,
UBC,2003,W,COMM,475,,202,INVEST POLICY,"Freedman, Ruth",43,86.19,7.66,96,59,43,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,11,10,17,,,
UBC,2005,W,COMM,298,,205,INTRO TO FINANCE,"Freedman, Ruth;Graham, Brian",89,74.02,13.11,93,34,84,5,0,0,0,0,0,0,2,3,5,3,2,8,8,8,8,12,13,14,8,,,
UBC,2005,W,COMM,298,,206,INTRO TO FINANCE,"Freedman, Ruth;Graham, Brian",98,71.22,13.96,95,35,89,7,2,0,0,0,0,0,2,5,7,4,9,9,6,8,12,12,14,6,9,,,
UBC,2005,W,COMM,397,,101,BUSINESS FINANCE,"Freedman, Ruth",60,74.24,12.33,93,39,57,2,1,0,0,0,0,0,1,1,2,2,4,5,5,2,7,9,8,13,2,,,
UBC,2005,W,COMM,397,,102,BUSINESS FINANCE,"CHEN, SHAOJUN JENNY;Freedman, Ruth",60,74.9,11.28,91,29,59,1,0,0,0,0,0,1,0,0,1,3,4,0,4,5,5,13,18,5,2,,,
UBC,2005,W,COMM,397,,103,BUSINESS FINANCE,"Freedman, Ruth;Shim, Kyung",59,74.14,9.21,91,41,58,1,0,0,0,0,0,0,0,1,1,1,3,2,6,3,15,9,14,4,1,,,
UBC,2005,W,COMM,397,,104,BUSINESS FINANCE,"CHEN, SHAOJUN JENNY;Freedman, Ruth",58,69.86,10.41,88,36,55,3,0,0,0,0,0,0,2,1,3,1,4,1,7,14,11,10,6,1,0,,,
UBC,2005,W,COMM,397,,105,BUSINESS FINANCE,"CHEN, SHAOJUN JENNY;Freedman, Ruth",54,69.07,8.29,89,53,54,0,0,0,0,0,0,0,0,0,0,3,4,7,8,14,5,4,8,1,0,,,
UBC,2005,W,COMM,397,,106,BUSINESS FINANCE,"Freedman, Ruth",57,75.84,8.75,90,50,56,0,1,0,0,0,0,0,0,0,0,2,1,1,5,5,8,10,15,8,1,,,
UBC,2005,W,COMM,397,,107,BUSINESS FINANCE,"Freedman, Ruth",60,74.18,13.27,92,37,56,4,0,0,0,0,0,0,1,3,4,1,5,2,5,2,5,9,14,11,2,,,
UBC,2005,W,COMM,397,,108,BUSINESS FINANCE,"CHEN, SHAOJUN JENNY;Freedman, Ruth",58,69.74,11.79,88,26,56,2,0,0,0,0,0,2,0,0,2,1,3,8,5,14,8,4,10,3,0,,,
UBC,2005,W,COMM,397,,109,BUSINESS FINANCE,"Freedman, Ruth;MacKinnon, Ronald",56,70.04,7.95,87,54,55,0,1,0,0,0,0,0,0,0,0,1,5,7,6,12,8,10,5,1,0,,,
UBC,2005,W,COMM,397,,110,BUSINESS FINANCE,"Freedman, Ruth;MacKinnon, Ronald",47,62.91,11.31,81,32,38,5,1,3,0,0,0,0,2,3,5,3,4,8,6,5,7,4,1,0,0,,,
UBC,2005,W,COMM,475,,201,INVEST POLICY,"Freedman, Ruth",43,79.55,10.51,94,57,42,0,1,0,0,0,0,0,0,0,0,0,2,2,2,4,3,6,5,9,9,,,
UBC,2005,W,COMM,475,,202,INVEST POLICY,"Freedman, Ruth",46,82.5,8.64,96,60,46,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,3,10,10,12,,,
UBC,2006,W,COMM,298,,201,INTRO TO FINANCE,"Freedman, Ruth;Graham, Brian",88,67.95,13.71,92,15,81,5,0,2,0,0,1,0,1,3,5,6,7,9,15,8,5,10,13,5,3,,,
UBC,2006,W,COMM,298,,202,INTRO TO FINANCE,"Freedman, Ruth;Graham, Brian",96,67.61,16.49,98,23,82,14,0,0,0,0,0,2,6,6,14,3,7,8,11,9,8,9,9,13,5,,,
UBC,2006,W,COMM,370,,102,BUSINESS FINANCE,"Freedman, Ruth;Newton, David",31,70.6,9.96,88,51,30,0,1,0,0,0,0,0,0,0,0,2,2,1,6,8,2,0,6,3,0,,,
UBC,2006,W,COMM,370,,103,BUSINESS FINANCE,"Freedman, Ruth;Mueller, Michael",38,69,9.05,87,47,35,1,2,0,0,0,0,0,0,1,1,0,5,6,2,7,8,4,2,1,0,,,
UBC,2006,W,COMM,370,,104,BUSINESS FINANCE,"Freedman, Ruth",40,74.98,7.7,86,61,40,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5,5,6,11,3,0,,,
UBC,2006,W,COMM,370,,105,BUSINESS FINANCE,"DOUGLASS, JULIAN J;Freedman, Ruth",44,74.73,8.42,90,59,44,0,0,0,0,0,0,0,0,0,0,0,1,5,2,4,12,6,9,3,2,,,
UBC,2006,W,COMM,370,,106,BUSINESS FINANCE,"Freedman, Ruth;Shim, Kyung",44,77.32,8.22,93,59,44,0,0,0,0,0,0,0,0,0,0,0,1,3,0,7,5,11,9,5,3,,,
UBC,2006,W,COMM,370,,107,BUSINESS FINANCE,"Freedman, Ruth;Shim, Kyung",42,77.39,10.3,96,40,40,1,1,0,0,0,0,0,0,1,1,0,0,1,3,6,6,5,7,8,4,,,
UBC,2006,W,COMM,370,,108,BUSINESS FINANCE,"DOUGLASS, JULIAN J;Freedman, Ruth",17,67.65,9.15,83,57,17,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,3,1,3,0,0,,,
UBC,2006,W,COMM,374,,205,SECURITY MRKT,"Freedman, Ruth",43,70.84,9.98,88,45,41,2,0,0,0,0,0,0,0,2,2,1,1,5,5,11,4,7,2,5,0,,,
UBC,2006,W,COMM,475,,101,INVEST POLICY,"Freedman, Ruth",37,73.11,7.88,86,52,37,0,0,0,0,0,0,0,0,0,0,1,1,2,3,8,9,5,4,4,0,,,
