Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2003,W,FRST,308,,101,FRST ENTOMOLOGY,"Lavallee, Susanne",21,71.48,18.16,86,0,20,1,0,0,0,1,0,0,0,0,1,0,1,2,0,3,4,0,8,2,0,,,
UBC,2005,W,CONS,451,,101,INTGRTD FLD SCHL,"Lavallee, Susanne",30,79,8.24,89,52,29,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,2,7,10,6,0,,,
UBC,2006,W,CONS,451,,101,INTGRTD FLD SCHL,"Lavallee, Susanne",26,79.85,6.07,93,64,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,11,2,2,,,
UBC,2007,W,AGRO,427,,001,INSECT ECOL,"Lavallee, Susanne",7,85.83,2.4,89,83,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,,,
UBC,2007,W,BIOL,411,,201,INSECT ECOLOGY,"Lavallee, Susanne",20,82.85,20.13,95,0,19,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5,7,6,,,
UBC,2007,W,CONS,451,,101,INTGRTD FLD SCHL,"Lavallee, Susanne",34,82.94,5.43,91,73,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,11,4,,,
UBC,2009,W,CONS,330,,201,CONSERVAT'N BIOL,"Lavallee, Susanne",57,77.54,6.99,91,61,57,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,10,4,25,6,1,,,
UBC,2009,W,CONS,451,,101,INTGRTD FLD SCHL,"Lavallee, Susanne",28,84.43,3.72,91,77,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,15,1,,,
UBC,2009,W,CONS,452,,201,GLBL PERSPCT CAP,"Lavallee, Susanne",21,81.76,6.47,88,63,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,9,9,0,,,
UBC,2010,W,CONS,330,,201,CONSRV SCI&SUSTN,"Lavallee, Susanne",84,74.73,15.47,93,0,80,4,0,0,0,2,0,0,2,0,4,0,3,2,4,5,16,5,33,11,1,,,
UBC,2010,W,CONS,451,,101,INTGRTD FLD SCHL,"Lavallee, Susanne",29,83.41,3.8,90,75,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,12,1,,,
UBC,2011,W,CONS,330,,201,CONSRV SCI&SUSTN,"Lavallee, Susanne",88,76.28,10.25,93,42,87,1,0,0,0,0,0,0,0,1,1,4,2,5,2,5,16,5,33,14,1,,,
UBC,2011,W,CONS,451,,101,INTGRTD FLD SCHL,"Hinch, Scott;Lavallee, Susanne",31,83.45,3.7,91,77,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,12,1,,,
UBC,2012,W,CONS,330,,201,CONSRV SCI&SUSTN,"Lavallee, Susanne",92,74.24,7.92,91,50,91,0,1,0,0,0,0,0,0,0,0,2,1,6,6,17,19,8,25,5,2,,,
