Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,COMM,399,,201,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",49,77.18,7.75,92,58,49,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,5,10,12,8,2
UBC,2003,W,COMM,399,,202,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",50,77.62,8.01,91,60,50,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,9,8,11,8,5
UBC,2003,W,COMM,399,,203,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",47,74.98,11.66,92,50,47,0,0,0,0,0,0,0,0,0,0,3,3,3,1,3,5,11,7,5,6
UBC,2005,W,COMM,399,,202,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",49,79.92,7.18,94,65,48,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,7,6,12,14,2
UBC,2005,W,COMM,399,,203,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",49,78.67,5.87,90,62,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,10,11,16,6,1
UBC,2006,W,BASC,511,,001,SUPPLY CH DESIGN,"Nagarajan, Mahesh",10,84.9,7.52,93,72,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,2
UBC,2006,W,COMM,399,,202,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",57,79.93,9.86,94,41,56,1,0,0,0,0,0,0,0,1,1,0,1,0,4,4,7,5,16,11,8
UBC,2006,W,COMM,399,,203,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",59,78.22,6.92,93,68,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,13,11,5,6
UBC,2007,W,BASC,511,,001,SUPPLY CH DESIGN,"Nagarajan, Mahesh",13,83.54,5.85,93,76,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,3
UBC,2007,W,COMM,399,,205,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",56,77.55,10.98,95,51,56,0,0,0,0,0,0,0,0,0,0,2,1,2,7,6,4,4,15,6,9
UBC,2007,W,COMM,399,,206,LOGISTIC/OPS MGT,"Nagarajan, Mahesh",57,77.89,10.32,92,52,57,0,0,0,0,0,0,0,0,0,0,2,1,3,4,6,3,7,11,13,7
UBC,2007,W,COMM,682,,001,STOCHASTIC TOPCS,"Krishnan, Harish;Nagarajan, Mahesh",4,85.5,1.73,87,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
UBC,2009,S,BASC,500,,808,INTR LGSTCS&OPRT,"Nagarajan, Mahesh",56,84.09,5.84,95,70,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,14,21,9
UBC,2009,W,BASC,514,,ECM,SUPPLY CHAIN MNG,"Nagarajan, Mahesh",22,79.86,4.6,87,72,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,3,0
UBC,2013,W,BASC,540,,301,OPERATION FUNDMT,"Nagarajan, Mahesh",49,81.61,10.67,100,60,49,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,7,8,5,7,15
UBC,2014,S,BASC,550,,814,OPER & LOG,"Nagarajan, Mahesh",39,80.82,13.26,97,27,38,1,0,0,0,0,0,1,0,0,1,1,0,0,1,4,2,5,9,4,12
UBC,2014,W,BASC,523,,MM1,SUPPLY CHAIN MNG,"Nagarajan, Mahesh",48,74.42,6.17,88,61,48,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,13,7,13,1,0
UBC,2015,S,BASC,550,,815,OPER & LOG,"Nagarajan, Mahesh",29,78.76,8.48,91,60,29,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,2,11,4,3
UBC,2015,W,BASC,523,,MM1,SUPPLY CHAIN MNG,"Nagarajan, Mahesh",46,77.89,5.24,93,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,9,5,1
UBC,2015,W,COMM,204,,113,LOG&OPS MANAGMNT,"Huh, Woonghee Tim;Nagarajan, Mahesh",11,82.64,4.01,89,76,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0
UBC,2015,W,COMM,398,,202,BUSI PROCESS&OPS,"Huh, Woonghee Tim;Nagarajan, Mahesh",43,78,7.02,89,50,43,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,9,11,13,6,0
UBC,2015,W,COMM,590,B,002,TOPICS BUS ADMIN,"Granot, Daniel;Granot, Frieda;Huh, Woonghee Tim;Krishnan, Harish;McCormick, S Thomas;Nagarajan, Mahesh",4,90,2.16,93,88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
UBC,2015,W,COMM,612,,001,ADV OPTIMIZATION,"Granot, Daniel;Granot, Frieda;Huh, Woonghee Tim;Krishnan, Harish;McCormick, S Thomas;Nagarajan, Mahesh",6,87.33,2.34,91,85,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
UBC,2015,W,COMM,616,,001,OPT THY & APPL,"Granot, Daniel;Granot, Frieda;Huh, Woonghee Tim;Krishnan, Harish;McCormick, S Thomas;Nagarajan, Mahesh",5,89.2,1.79,90,86,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
UBC,2016,S,COMM,398,,921,BUSI PROCESS&OPS,"Huh, Woonghee Tim;Nagarajan, Mahesh",47,78.43,7.87,91,60,47,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,9,2,17,6,5
UBC,2016,W,BASC,523,,MM1,SUPPLY CHAIN MNG,"Nagarajan, Mahesh",54,68.56,5.96,85,60,54,0,0,0,0,0,0,0,0,0,0,0,0,14,4,19,12,3,1,1,0
UBC,2016,W,BASC,550,,816,OPER & LOG,"Nagarajan, Mahesh",34,78.94,7.08,96,62,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,8,10,2,3
UBC,2016,W,COMM,398,,201,BUSI PROCESS&OPS,"Huh, Woonghee Tim;Nagarajan, Mahesh",56,80.45,7.95,97,50,56,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,7,5,18,15,4
UBC,2016,W,COMM,398,,202,BUSI PROCESS&OPS,"Huh, Woonghee Tim;Nagarajan, Mahesh",48,82.19,8.01,94,53,48,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,3,3,16,14,7
UBC,2016,W,COMM,618,,001,DESCRETE OPT II,"Nagarajan, Mahesh",5,90,0,90,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UBC,2017,S,BASC,550,,817,OPER & LOG,"Nagarajan, Mahesh",27,72.04,8.12,86,60,27,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,5,4,3,2,0
UBC,2017,S,COMM,398,,921,BUSI PROCESS&OPS,"Huh, Woonghee Tim;Nagarajan, Mahesh",52,77.52,11.1,95,31,49,1,2,0,0,0,0,0,1,0,1,0,0,2,6,4,3,10,12,5,7
UBC,2017,W,BASC,523,,MM1,SUPPLY CHAIN MNG,"Nagarajan, Mahesh",39,78.56,5.55,88,70,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,3,13,7,0
UBC,2017,W,COMM,398,,202,BUSI PROCESS&OPS,"Huh, Woonghee Tim;Nagarajan, Mahesh",56,77.52,10.74,96,35,55,1,0,0,0,0,0,0,1,0,1,0,2,1,3,6,8,5,15,8,7
