Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,ENGL,110,,019,INTRO LITERATURE,"De Villiers, Jessica",146,73.55,7.22,92,55,144,0,1,0,1,0,0,0,0,0,0,0,3,12,15,21,31,33,19,9,1
UBC,2002,W,ENGL,329,,001,STRUC MOD ENGL,"De Villiers, Jessica",44,73.72,14.44,95,0,42,1,1,0,0,1,0,0,0,0,1,1,1,2,3,5,7,8,9,5,1
UBC,2002,W,ENGL,490,,006,Majors Seminar,"De Villiers, Jessica",14,77.43,8,87,65,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,1,5,0
UBC,2003,W,ENGL,110,,004,INTRO LITERATURE,"De Villiers, Jessica",129,72.17,8.32,93,50,127,0,2,0,0,0,0,0,0,0,0,5,2,13,13,22,30,20,15,5,2
UBC,2003,W,ENGL,326,A,001,STDIES ENGL LANG,"De Villiers, Jessica",41,75.25,9.31,88,54,40,0,0,0,1,0,0,0,0,0,0,1,0,4,6,5,3,4,5,12,0
UBC,2003,W,ENGL,329,,002,STRUC MOD ENGL,"De Villiers, Jessica",40,74.73,9.71,92,56,37,0,1,0,2,0,0,0,0,0,0,0,2,4,2,6,4,7,4,5,3
UBC,2005,W,ENGL,229,B,002,LANG / RHETORIC,"De Villiers, Jessica",31,75.76,15.15,87,0,28,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,4,10,9,4,0
UBC,2005,W,ENGL,312,A,001,DISCOURSE&SOCIET,"De Villiers, Jessica",34,76.88,14.81,88,0,33,1,0,0,0,1,0,0,0,0,1,0,0,0,2,3,4,4,10,10,0
UBC,2005,W,ENGL,329,,002,STRUC MOD ENGL,"De Villiers, Jessica",32,75.1,9.34,93,57,30,0,1,0,1,0,0,0,0,0,0,0,1,1,7,0,4,6,5,4,2
UBC,2007,W,ENGL,229,B,002,LANG / RHETORIC,"De Villiers, Jessica",40,77.82,4.39,85,66,39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13,8,13,4,0
UBC,2007,W,ENGL,312,A,001,DISCOURSE&SOCIET,"De Villiers, Jessica",32,77.84,7.89,90,50,32,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,8,7,6,2
UBC,2007,W,ENGL,329,,003,STRUC MOD ENGL,"De Villiers, Jessica",25,75.92,8.61,88,60,24,0,1,0,0,0,0,0,0,0,0,0,0,2,3,2,2,4,5,6,0
UBC,2009,W,ENGL,229,B,002,LANG / RHETORIC,"De Villiers, Jessica",32,76.13,12.74,86,10,31,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,6,11,9,4,0
UBC,2009,W,ENGL,312,A,001,DISCOURSE&SOCIET,"De Villiers, Jessica",44,76.42,10.58,90,25,42,1,1,0,0,0,0,1,0,0,1,0,1,1,1,3,7,8,14,6,1
UBC,2009,W,ENGL,329,,002,STRUC MOD ENGL,"De Villiers, Jessica",41,76.48,7.88,95,61,40,0,1,0,0,0,0,0,0,0,0,0,0,3,2,4,6,12,7,3,3
UBC,2010,W,ENGL,229,A,001,LANG / RHETORIC,"De Villiers, Jessica",41,75.85,11.64,86,10,40,1,0,0,0,0,1,0,0,0,1,0,0,0,0,5,7,15,5,8,0
UBC,2010,W,ENGL,312,A,001,DISCOURSE&SOCIET,"De Villiers, Jessica",43,78.44,4.9,88,67,41,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,6,14,12,7,0
UBC,2010,W,ENGL,330,A,001,STR SNDS & WRDS,"De Villiers, Jessica",37,74.03,14.3,93,5,36,1,0,0,0,1,0,0,0,0,1,0,1,1,1,6,7,9,2,7,2
UBC,2010,W,ENGL,331,,001,STR SENTENCES,"De Villiers, Jessica",36,75.33,15.17,93,0,35,1,0,0,0,1,0,0,0,0,1,0,0,2,2,3,5,7,6,8,2
UBC,2012,W,ENGL,229,D,004,LANG / RHETORIC,"De Villiers, Jessica",22,79.05,3.77,86,72,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8,3,0
