Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,FRST,300,,001,PRIN FRST SC&MGT,"Bull, Gary;Worrall, John",32,72.4,18.01,99,0,29,1,2,0,0,1,0,0,0,0,1,1,2,3,1,7,1,4,5,2,3,,,
UBC,2002,W,FRST,421,,101,INTGR RES MAN I,"Bull, Gary",33,76.73,8.77,92,57,33,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,9,6,3,3,,,
UBC,2005,W,FRST,300,,001,PRIN FRST SC&MGT,"Bull, Gary;Worrall, John",14,69.15,18.37,92,26,12,1,1,0,0,0,0,1,0,0,1,0,3,1,0,2,1,1,1,1,2,,,
UBC,2005,W,FRST,304,,201,SCI FRST ISSUES,"Bull, Gary",11,76.2,19.19,97,25,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2,4,1,1,,,
UBC,2005,W,FRST,521,C,001,TOP FORST & SOC,"Bull, Gary",9,80.11,8.08,92,67,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,1,2,,,
UBC,2006,W,FRST,300,,001,PRIN FRST SC&MGT,"Bull, Gary;Worrall, John",19,69.47,14.05,86,34,18,1,0,0,0,0,0,0,1,0,1,3,1,0,0,5,1,1,6,1,0,,,
UBC,2006,W,FRST,304,,201,SCI FRST ISSUES,"Bull, Gary",16,71.63,12.39,92,52,16,0,0,0,0,0,0,0,0,0,0,2,1,0,2,5,1,0,2,1,2,,,
UBC,2006,W,FRST,424,,001,Sust Frst Mgmt,"Bull, Gary;Nelson, John Douglas",18,81.71,7.28,90,63,17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,4,8,2,,,
UBC,2006,W,FRST,521,C,101,TOP FORST & SOC,"Bull, Gary",9,85.67,5.66,92,75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,2,,,
UBC,2007,W,FRST,304,,201,SCI FRST ISSUES,"Bull, Gary",20,76.55,9.58,92,60,20,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,3,6,1,2,,,
UBC,2007,W,FRST,424,,001,Sust Frst Mgmt,"Bull, Gary;Nelson, John Douglas",24,82.29,10.6,95,50,24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,4,9,5,,,
UBC,2010,W,FRST,304,,201,SCI FRST ISSUES,"Bull, Gary",28,78.5,7.44,94,60,26,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,4,5,8,3,1,,,
UBC,2010,W,FRST,424,,001,Sust Frst Mgmt,"Bull, Gary;Nelson, John Douglas",40,85.3,5.83,95,73,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,16,7,14,,,
UBC,2010,W,FRST,529,,201,ECO ECONOMICS,"Bull, Gary",8,89.5,5.9,95,78,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,,,
UBC,2011,W,FRST,304,,201,SCI FRST ISSUES,"Bull, Gary",33,75.41,10.43,97,38,31,1,1,0,0,0,0,0,1,0,1,0,0,1,4,3,4,7,9,1,2,,,
UBC,2011,W,FRST,424,,001,Sust Frst Mgmt,"Bull, Gary;Nelson, John Douglas",27,83.89,4.59,94,76,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,10,4,,,
UBC,2012,W,FRST,304,,201,SCI FRST ISSUES,"Bull, Gary",23,76.53,8.75,90,57,19,0,3,0,1,0,0,0,0,0,0,0,1,1,0,4,1,2,7,2,1,,,
UBC,2012,W,FRST,424,,001,Sust Frst Mgmt,"Bull, Gary;Marshall, Peter;Nelson, John Douglas",24,80.79,6,91,69,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,8,8,1,,,
UBC,2013,W,FRST,304,,201,SCI FRST ISSUES,"Bull, Gary",33,73.75,11.69,90,50,32,0,1,0,0,0,0,0,0,0,0,1,4,4,0,3,4,2,9,4,1,,,
UBC,2013,W,FRST,424,,001,Sust Frst Mgmt,"Bull, Gary;Marshall, Peter;Nelson, John Douglas",39,80.56,9.14,94,56,39,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,5,15,8,5,,,
UBC,2014,W,FRST,304,,201,SCI FRST ISSUES,"Bull, Gary",41,76.98,11.85,100,40,39,1,1,0,0,0,0,0,0,1,1,2,0,2,1,2,5,7,10,6,4,,,
UBC,2014,W,FRST,424,,001,Sust Frst Mgmt,"Bull, Gary;Griess, Verena;Marshall, Peter",35,72.4,9.06,89,57,35,0,0,0,0,0,0,0,0,0,0,0,3,5,2,7,3,7,5,3,0,,,
