Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,PHYS,206,,201,MECHANICS,"Berciu, Mona",84,72.07,18.01,98,15,70,6,5,0,3,0,1,1,1,3,6,7,5,6,3,6,6,4,13,5,15,,,
UBC,2002,W,PHYS,206,,T2A,MECHANICS,"Berciu, Mona",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
UBC,2003,W,PHYS,206,,201,MECHANICS,"Berciu, Mona",67,70.98,17.91,98,0,58,6,3,0,0,1,0,0,2,3,6,3,7,3,2,6,7,8,6,7,9,,,
UBC,2005,W,PHYS,455,,201,STAT MECHANICS,"Berciu, Mona",63,71.34,16.46,100,0,60,2,1,0,0,1,0,0,1,0,2,6,4,3,7,2,12,5,9,6,6,,,
UBC,2005,W,PHYS,503,,101,COND MATTER II,"Berciu, Mona",11,84.09,7.93,93,64,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,3,,,
UBC,2006,W,PHYS,455,,201,STAT MECHANICS,"Berciu, Mona",68,72,14.62,99,42,65,2,0,0,1,0,0,0,0,2,2,9,5,2,4,7,6,10,4,8,10,,,
UBC,2007,W,PHYS,455,,201,STAT MECHANICS,"Berciu, Mona",76,72.27,14.5,95,36,72,3,0,0,1,0,0,0,2,1,3,9,3,3,5,8,7,7,11,11,8,,,
UBC,2009,W,PHYS,206,,201,MECHANICS,"Berciu, Mona",71,73.37,17.5,98,19,65,6,0,0,0,0,1,1,3,1,6,5,2,2,4,8,4,8,7,14,11,,,
UBC,2009,W,PHYS,312,,101,INTRO MATH PHYS,"Berciu, Mona",23,65.65,19.38,96,0,21,2,0,0,0,1,0,0,0,1,2,2,2,3,0,5,3,0,3,2,1,,,
UBC,2010,W,PHYS,206,,201,MECHANICS,"Berciu, Mona",62,73.24,15.12,97,28,55,3,1,0,3,0,0,2,0,1,3,4,3,2,1,4,11,8,7,8,7,,,
UBC,2010,W,PHYS,312,,101,INTRO MATH PHYS,"Berciu, Mona",26,72.38,12.16,90,38,23,1,1,0,1,0,0,0,1,0,1,1,0,1,4,4,4,0,4,4,1,,,
UBC,2011,W,PHYS,312,,101,INTRO MATH PHYS,"Berciu, Mona",28,70.81,15.24,95,28,26,1,0,0,1,0,0,1,0,0,1,2,3,1,3,3,3,4,1,2,4,,,
UBC,2012,W,PHYS,315,,101,PHYS MATERIALS,"Berciu, Mona",15,76.33,13.25,93,50,15,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,1,2,4,,,
UBC,2012,W,PHYS,403,,201,STATISTICAL MECH,"Berciu, Mona",81,71.09,15.21,97,29,73,4,1,0,3,0,0,1,3,0,4,6,5,7,5,5,12,10,5,8,10,,,
UBC,2013,W,PHYS,315,,101,PHYS MATERIALS,"Berciu, Mona",7,81.86,13.11,95,60,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,,,
UBC,2013,W,PHYS,403,,101,STATISTICAL MECH,"Berciu, Mona",27,73.93,16.25,95,31,26,1,0,0,0,0,0,0,1,0,1,2,3,1,1,2,2,1,4,4,6,,,
UBC,2014,W,PHYS,315,,101,PHYS MATERIALS,"Berciu, Mona",26,76.44,14.42,92,28,24,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,4,1,7,4,4,,,
UBC,2014,W,PHYS,403,,101,STATISTICAL MECH,"Berciu, Mona",24,74.63,18.53,92,5,23,1,0,0,0,1,0,0,0,0,1,1,2,0,0,3,1,3,5,5,3,,,
UBC,2016,W,PHYS,312,,101,INTRO MATH PHYS,"Berciu, Mona",57,71.91,13.9,99,24,52,1,4,0,0,0,0,1,0,0,1,4,2,4,6,6,9,6,5,4,6,,,
UBC,2016,W,PHYS,502,,101,COND MATTER I,"Berciu, Mona",20,84.31,6.16,94,73,16,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,4,,,
UBC,2017,W,PHYS,312,,101,INTRO MATH PHYS,"Berciu, Mona",63,71.85,14.55,97,34,58,3,1,0,1,0,0,0,1,2,3,3,5,8,4,3,7,4,10,6,8,,,
UBC,2017,W,PHYS,502,,101,COND MATTER I,"Berciu, Mona",15,87.93,5.59,93,72,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,9,,,
UBC,2018,W,PHYS,312,,101,INTRO MATH PHYS,"Berciu, Mona",45,73.24,14.34,96,38,40,2,2,0,1,0,0,0,1,1,2,4,3,0,3,2,0,8,13,3,4,,,
UBC,2018,W,PHYS,502,,101,COND MATTER I,"Berciu, Mona",22,83.62,5.97,95,68,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,8,3,,,
UBCV,2014,W,PHYS,315,,101,Physics of Materials,Mona Berciu,25,76.44,14.41665703,92.0,28.0,,,,,,,,,,,,,,,,,,,7,,,,,
UBCV,2014,W,PHYS,403,,101,Statistical Mechanics,Mona Berciu,24,74.625,18.52568722,92.0,5.0,,,,,,,,,,,1,,,,,3,,3,5,5,3,,,
UBCV,2016,W,PHYS,312,,101,Introduction to Mathematical Physics,Hideki Tanimura;Mona Berciu,53,71.90566038,13.90111251,99.0,24.0,,,,,,,,,,,1,4,2,4,6,6,9,6,5,4,6,,,
UBCV,2016,W,PHYS,502,,101,Condensed Matter Physics I,Chengshu Li;Mona Berciu,19,71.47368421,30.97735449,94.0,3.0,,,,,,,,,,,3,0,0,0,0,0,1,2,4,5,4,,,
UBCV,2017,W,PHYS,312,,101,Introduction to Mathematical Physics,Laurent Chaurette;Mona Berciu,62,70.838709677,16.494602742,97.0,9.0,,,,,,,,,,,4,3,5,8,4,3,7,4,10,6,8,,,
UBCV,2017,W,PHYS,502,,101,Condensed Matter Physics I,Jordan Wilson-Gerow;Mona Berciu,15,87.933333333,5.58654847,93.0,72.0,,,,,,,,,,,0,0,0,0,0,0,1,0,1,4,9,,,
UBCV,2018,W,PHYS,312,,101,Introduction to Mathematical Physics,Mona Berciu;Yau Chuen Yam,43,72.395348837,15.211429811,96.0,37.0,,,,,,,,,,,3,4,3,0,3,2,0,8,13,3,4,,,
UBCV,2018,W,PHYS,502,,101,Condensed Matter Physics I,Chengshu Li;Mona Berciu,21,83.619047619,5.970562708,95.0,68.0,,,,,,,,,,,0,0,0,0,0,1,0,2,7,8,3,,,
