Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,MMAT,359,,1L1,HYDROMTL I LAB,"Wassink, Berend",23,84.48,5.67,95,70,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,7,4,,,
UBC,2003,W,MMAT,359,,1L1,HYDROMTL I LAB,"Wassink, Berend",30,81.43,5.83,94,72,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,16,0,5,,,
UBC,2005,W,MTRL,358,,101,HYDROMETALRGY I,"Wassink, Berend",53,72,13.21,92,17,50,3,0,0,0,0,1,0,1,1,3,1,3,2,8,6,6,8,8,7,1,,,
UBC,2005,W,MTRL,359,,1L1,HYDROMTL I LAB,"Wassink, Berend",40,86.65,7.24,95,54,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,7,14,16,,,
UBC,2005,W,MTRL,359,,1L2,HYDROMTL I LAB,"Wassink, Berend",6,75.67,33.22,93,8,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,,,
UBC,2006,W,APSC,279,,102,ENG MTLS LAB,"Wassink, Berend",9,92.22,5.43,97,82,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,,,
UBC,2006,W,APSC,279,,106,ENG MTLS LAB,"Wassink, Berend",23,83.87,7.81,94,68,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,6,7,,,
UBC,2006,W,APSC,279,,108,ENG MTLS LAB,"Wassink, Berend",13,89.85,3.98,94,82,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,,,
UBC,2006,W,APSC,279,,110,ENG MTLS LAB,"Wassink, Berend",19,86.16,6.85,96,63,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,11,4,,,
UBC,2006,W,APSC,279,,114,ENG MTLS LAB,"Wassink, Berend",16,87.44,8.87,98,65,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,9,,,
UBC,2006,W,APSC,279,,116,ENG MTLS LAB,"Wassink, Berend",12,83.17,6.46,93,70,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,1,,,
UBC,2006,W,APSC,279,,201,ENG MTLS LAB,"Wassink, Berend",19,85.11,12.12,97,41,18,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,7,7,,,
UBC,2006,W,APSC,279,,202,ENG MTLS LAB,"Wassink, Berend",14,89.79,5.19,96,77,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,8,,,
UBC,2006,W,APSC,279,,203,ENG MTLS LAB,"Wassink, Berend",19,95.42,2.57,100,90,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,,,
UBC,2006,W,APSC,279,,204,ENG MTLS LAB,"Wassink, Berend",17,96.71,3.96,100,85,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,,,
UBC,2006,W,APSC,279,,205,ENG MTLS LAB,"Wassink, Berend",19,94.47,5.18,99,79,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17,,,
UBC,2006,W,APSC,279,,206,ENG MTLS LAB,"Wassink, Berend",18,93,8.24,99,71,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,15,,,
UBC,2006,W,APSC,279,,207,ENG MTLS LAB,"Wassink, Berend",16,83.38,10.63,95,53,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,4,5,,,
UBC,2006,W,APSC,279,,208,ENG MTLS LAB,"Wassink, Berend",14,82.64,9.39,99,64,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,2,4,,,
UBC,2006,W,APSC,279,,209,ENG MTLS LAB,"Wassink, Berend",9,83.11,4.7,90,76,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,,,
UBC,2006,W,APSC,279,,210,ENG MTLS LAB,"Wassink, Berend",13,80.62,8.46,89,63,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,3,5,0,,,
UBC,2006,W,MTRL,358,,101,HYDROMETALRGY I,"Wassink, Berend",34,71.56,13.48,97,38,31,3,0,0,0,0,0,0,1,2,3,0,2,2,3,3,6,6,3,5,1,,,
UBC,2006,W,MTRL,359,,L1A,HYDROMTL I LAB,"Wassink, Berend",12,79.75,9.53,91,60,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,3,3,1,,,
UBC,2006,W,MTRL,359,,L1B,HYDROMTL I LAB,"Wassink, Berend",17,82.06,7.36,94,69,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,3,,,
UBC,2007,W,APSC,279,,102,ENG MTLS LAB,"Wassink, Berend",13,87.38,6.6,94,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,5,,,
UBC,2007,W,APSC,279,,106,ENG MTLS LAB,"Wassink, Berend",21,83.14,8.41,95,66,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,4,9,3,,,
UBC,2007,W,APSC,279,,108,ENG MTLS LAB,"Wassink, Berend",12,88.25,6.33,95,74,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,6,,,
UBC,2007,W,APSC,279,,110,ENG MTLS LAB,"Wassink, Berend",16,81.87,19.38,96,16,14,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2,5,5,,,
UBC,2007,W,APSC,279,,114,ENG MTLS LAB,"Wassink, Berend",18,85.76,7.72,96,73,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,4,7,,,
UBC,2007,W,APSC,279,,116,ENG MTLS LAB,"Wassink, Berend",18,95.94,3.13,99,89,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,,,
UBC,2007,W,APSC,279,,201,ENG MTLS LAB,"Wassink, Berend",20,86.7,6.58,96,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,7,7,,,
UBC,2007,W,APSC,279,,202,ENG MTLS LAB,"Wassink, Berend",19,86.21,8,97,65,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,7,6,,,
UBC,2007,W,APSC,279,,203,ENG MTLS LAB,"Wassink, Berend",20,90.7,3.1,94,82,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,15,,,
UBC,2007,W,APSC,279,,204,ENG MTLS LAB,"Wassink, Berend",17,94.94,2.88,99,90,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,
UBC,2007,W,APSC,279,,205,ENG MTLS LAB,"Wassink, Berend",20,85.75,4.97,96,77,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,4,,,
UBC,2007,W,APSC,279,,206,ENG MTLS LAB,"Wassink, Berend",20,88.6,5.23,97,77,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,9,,,
UBC,2007,W,APSC,279,,207,ENG MTLS LAB,"Wassink, Berend",16,78.38,23.4,96,0,15,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,3,3,5,,,
UBC,2007,W,APSC,279,,208,ENG MTLS LAB,"Wassink, Berend",17,80.94,12.73,91,42,16,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,3,3,5,,,
UBC,2007,W,APSC,279,,209,ENG MTLS LAB,"Wassink, Berend",18,94.17,3.42,98,87,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,,,
UBC,2007,W,APSC,279,,210,ENG MTLS LAB,"Wassink, Berend",17,87,14.98,97,32,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,4,9,,,
UBC,2007,W,MTRL,358,,101,HYDROMETALRGY I,"Wassink, Berend",48,72.77,9.6,97,40,46,1,1,0,0,0,0,0,0,1,1,1,1,3,4,9,13,6,5,2,2,,,
UBC,2007,W,MTRL,359,,L1A,HYDROMTL I LAB,"Wassink, Berend",22,83.45,6.91,98,67,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11,5,3,,,
UBC,2007,W,MTRL,359,,L1B,HYDROMTL I LAB,"Wassink, Berend",13,81.54,6.05,92,72,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,1,,,
UBC,2007,W,MTRL,390,,201,SEMINAR II,"Dreisinger, David;Maijer, Daan;Wassink, Berend",43,87.33,5.22,97,73,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,20,13,,,
UBC,2009,W,APSC,279,,101,ENG MTLS LAB,"Wassink, Berend",16,91.81,2.48,95,86,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,,,
UBC,2009,W,APSC,279,,102,ENG MTLS LAB,"Wassink, Berend",16,84.25,10.45,96,58,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,1,8,,,
UBC,2009,W,APSC,279,,106,ENG MTLS LAB,"Wassink, Berend",21,90.33,6.34,98,74,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,14,,,
UBC,2009,W,APSC,279,,108,ENG MTLS LAB,"Wassink, Berend",14,83.86,11.18,96,61,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,3,6,,,
UBC,2009,W,APSC,279,,110,ENG MTLS LAB,"Wassink, Berend",21,92.24,4.82,98,82,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,15,,,
UBC,2009,W,APSC,279,,114,ENG MTLS LAB,"Wassink, Berend",16,83.25,8.05,94,67,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,6,4,,,
UBC,2009,W,APSC,279,,116,ENG MTLS LAB,"Wassink, Berend",19,89.95,6.29,98,76,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,13,,,
