Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,BIOL,210,,201,VASCULAR PLANTS,"Ellis, Shona Margaret;Ganders, Fred R;Whitton, Jeannette",147,74.35,11.84,95,42,137,4,3,0,3,0,0,0,0,4,4,5,7,6,13,19,17,12,25,18,15
UBC,2002,W,BIOL,415,,201,EVOL PROCSS PLNT,"Whitton, Jeannette",36,78.86,6.19,89,60,36,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,9,12,6,0
UBC,2002,W,BOTA,500,,201,FIELD BOTANY,"Ganders, Fred R;Whitton, Jeannette",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2002,W,BOTA,505,B,003,FLD CRSE PLNT DV,"Whitton, Jeannette",6,87.67,5.43,92,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
UBC,2003,W,BIOL,210,,201,VASCULAR PLANTS,"Ellis, Shona Margaret;Hawkes, Michael;Whitton, Jeannette",176,68.93,10.51,93,39,174,2,0,0,0,0,0,0,1,1,2,13,16,19,30,29,19,14,17,12,5
UBC,2003,W,BIOL,415,,201,EVOL PROCSS PLNT,"Whitton, Jeannette",36,74.81,12.31,85,13,35,1,0,0,0,0,1,0,0,0,1,0,1,1,1,4,4,12,10,2,0
UBC,2005,W,BIOL,336,,201,EVOLUTIONARY GEN,"Otto, Sarah;Whitton, Jeannette",210,76.19,9.65,95,21,205,2,3,0,0,0,0,1,0,1,2,2,6,7,8,32,33,31,48,26,12
UBC,2005,W,BIOL,415,,201,EVOL PROCSS PLNT,"Whitton, Jeannette",37,80.17,9,94,58,35,0,1,0,1,0,0,0,0,0,0,0,1,1,1,3,3,6,8,6,6
UBC,2006,W,BIOL,415,,101,EVOL PROCSS PLNT,"Whitton, Jeannette",13,76.92,10.67,92,56,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,3,1,2
UBC,2007,W,BIOL,121,,123,ECO GEN EVOL,"Whitton, Jeannette",217,68.43,10.65,92,40,208,6,1,0,2,0,0,0,0,6,6,12,28,25,22,38,25,26,15,14,3
UBC,2007,W,BIOL,336,,201,EVOLUTIONARY GEN,"Ally, Dilara;Whitton, Jeannette",173,72.12,9.54,94,37,167,2,1,0,3,0,0,0,1,1,2,4,6,13,34,24,19,23,30,7,7
UBC,2009,W,BIOL,336,,201,EVOLUTIONARY GEN,"Bole, Gregory Michael;Whitton, Jeannette",159,69.7,8.5,91,45,154,1,2,0,2,0,0,0,0,1,1,5,8,23,24,30,19,21,19,4,1
UBC,2010,W,BIOL,336,,201,EVOLUTIONARY BIO,"Bole, Gregory Michael;Keeling, Naomi;Whitton, Jeannette",195,69.26,12,96,4,185,9,0,1,0,1,0,2,0,6,9,7,15,19,19,41,24,21,24,13,2
UBC,2010,W,BIOL,347,,101,PRIN&METH RSCH I,"Harley, Christopher;Whitton, Jeannette",15,82.07,4.45,91,76,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,1
UBC,2011,W,BIOL,336,,201,EVOLUTIONARY BIO,"Bole, Gregory Michael;Keeling, Naomi;Whitton, Jeannette",207,73.08,9.06,91,31,204,2,1,0,0,0,0,0,1,1,2,2,12,10,15,42,39,26,40,16,2
UBC,2011,W,BIOL,548,B,101,ADV TOPICS BIOL,"Whitton, Jeannette",4,93,1.15,94,92,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UBC,2012,W,BIOL,336,,201,EVOLUTIONARY BIO,"Adams, Keith;Bole, Gregory Michael;Whitton, Jeannette",183,75.19,8.89,94,50,182,0,1,0,0,0,0,0,0,0,0,2,8,11,13,22,33,33,34,18,8
UBC,2012,W,BIOL,336,,202,EVOLUTIONARY BIO,"Adams, Keith;Bole, Gregory Michael;Whitton, Jeannette",130,72.65,11.61,95,26,126,3,0,1,0,0,0,1,1,1,3,8,2,8,12,21,20,18,20,10,7
UBC,2012,W,BIOL,415,,101,EVOL PROCSS PLNT,"Whitton, Jeannette",8,76.88,10.96,87,55,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,2,0
UBC,2013,W,BIOL,336,,101,EVOLUTIONARY BIO,"Keeling, Naomi;Whitton, Jeannette",193,72.48,10.81,95,26,185,5,3,0,0,0,0,1,1,3,5,5,12,13,22,22,23,33,31,20,4
UBC,2014,W,BIOL,416,,201,PR CONSERVT BIOL,"Whitton, Jeannette",46,78.2,11.51,94,11,44,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,9,4,21,5,2
UBC,2015,W,BIOL,336,,101,EVOLUTIONARY BIO,"Bole, Gregory Michael;Whitton, Jeannette",192,72.81,9.39,91,28,185,3,3,0,1,0,0,1,0,2,3,5,6,14,16,30,37,28,33,13,3
UBC,2015,W,BIOL,336,,201,EVOLUTIONARY BIO,"Maddison, Wayne;Whitton, Jeannette",143,73.61,11.8,96,0,135,5,3,0,0,1,0,0,1,3,5,0,4,5,17,27,19,18,24,16,5
UBC,2015,W,BIOL,336,,202,EVOLUTIONARY BIO,"Maddison, Wayne;Whitton, Jeannette",34,77.81,11.08,92,57,32,0,2,0,0,0,0,0,0,0,0,0,3,2,2,4,0,2,9,5,5
UBC,2016,W,BIOL,336,,201,EVOLUTIONARY BIO,"Maddison, Wayne;Whitton, Jeannette",140,78.23,9.71,96,37,136,2,2,0,0,0,0,0,1,1,2,1,1,4,6,19,13,21,33,28,10
UBC,2016,W,BIOL,336,,202,EVOLUTIONARY BIO,"Maddison, Wayne;Whitton, Jeannette",96,75.23,9.22,96,48,92,1,3,0,0,0,0,0,0,1,1,0,4,3,10,15,16,10,15,15,4
UBC,2017,W,BIOL,336,,201,EVOLUTIONARY BIO,"Maddison, Wayne;Whitton, Jeannette",124,78.93,9.34,95,47,121,2,1,0,0,0,0,0,0,2,2,1,2,1,8,10,10,17,29,30,13
UBC,2017,W,BIOL,336,,202,EVOLUTIONARY BIO,"Maddison, Wayne;Whitton, Jeannette",111,75.01,9.78,95,37,102,2,4,0,3,0,0,0,1,1,2,1,2,3,12,12,18,16,21,12,5
UBC,2017,W,SCIE,300,,109,COMMUNICATE SCIE,"Whitton, Jeannette",21,75.48,17.78,93,2,20,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,4,9,2,1
UBC,2018,W,BIOL,336,,201,EVOLUTIONARY BIO,"Clarkston, Bridgette;Whitton, Jeannette",125,79.81,9.13,94,52,121,0,1,1,2,0,0,0,0,0,0,2,3,4,5,5,12,18,27,27,18
UBC,2018,W,BIOL,336,,202,EVOLUTIONARY BIO,"Clarkston, Bridgette;Whitton, Jeannette",120,74.64,10.51,93,42,114,2,2,0,2,0,0,0,0,2,2,5,2,7,8,14,21,15,21,15,6
UBC,2018,W,SCIE,300,,109,COMMUNICATE SCIE,"Whitton, Jeannette",22,80.73,4.14,90,74,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,3,1
