Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2005,W,EECE,202,,2P1,Proj Int Prog II,"Calvino-Fraga, Jesus;Chrostowski, Lukas;Ivanov, Andre;Lawrence, Peter;Walus, Konrad",73,66.23,11.06,95,43,71,2,0,0,0,0,0,0,0,2,2,7,14,9,9,11,6,6,3,4,2
UBC,2006,W,EECE,202,,2P1,INT PROG PROJ II,"Calvino-Fraga, Jesus;Chrostowski, Lukas;Ivanov, Andre;Lawrence, Peter;Walus, Konrad",63,68.49,12.03,92,39,61,2,0,0,0,0,0,0,1,1,2,5,9,7,8,8,4,8,4,4,4
UBC,2006,W,EECE,203,,2P1,BIOMED ENG PIP,"Calvino-Fraga, Jesus;Chrostowski, Lukas;Ivanov, Andre;Lawrence, Peter;Walus, Konrad",13,73,8.57,85,59,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,1,3,1,0
UBC,2006,W,EECE,364,,201,ELCMGNT FLDS&WVS,"Walus, Konrad",50,74.7,9.1,93,50,50,0,0,0,0,0,0,0,0,0,0,1,0,4,5,7,10,10,3,6,4
UBC,2006,W,EECE,576,,101,SEMICON THY APPL,"Walus, Konrad",12,91.58,5.7,99,81,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9
UBC,2007,W,EECE,202,,2P1,INT PROG PROJ II,"Calvino-Fraga, Jesus;Chrostowski, Lukas;Ivanov, Andre;Lawrence, Peter;Walus, Konrad",46,66.72,10.5,87,50,46,0,0,0,0,0,0,0,0,0,0,8,2,9,5,6,7,3,3,3,0
UBC,2007,W,EECE,203,,2P1,BIOMED ENG PIP,"Calvino-Fraga, Jesus;Chrostowski, Lukas;Ivanov, Andre;Lawrence, Peter;Walus, Konrad",9,71.44,7.47,82,62,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,2,0,0
UBC,2007,W,EECE,491,W,201,EPCS ELEC&CMP II,"Walus, Konrad",10,79.9,25.43,99,11,9,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,5
UBC,2007,W,EECE,576,,101,SEMICON THY APPL,"Walus, Konrad",12,88.4,6.87,96,73,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6
UBC,2009,W,EECE,202,,2P1,INT PROG PROJ II,"Chrostowski, Lukas;Stocco, Leo;Walus, Konrad;Yan, Joseph",50,66.9,11.74,88,39,45,5,0,0,0,0,0,0,1,4,5,3,6,3,5,13,1,7,4,3,0
UBC,2009,W,EECE,203,,2P1,BIOMED ENG PIP,"Chrostowski, Lukas;Stocco, Leo;Walus, Konrad;Yan, Joseph",10,69.4,6.42,78,55,10,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,1,0,0,0
UBC,2009,W,EECE,400,,201,NANTEC & MICRSYS,"Madden, John;Walus, Konrad",15,85,6.87,95,68,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,6,3
UBC,2009,W,EECE,401,,101,NANOTEC ELETRNCS,"Walus, Konrad",39,70.13,11.2,97,47,38,1,0,0,0,0,0,0,0,1,1,3,0,6,5,7,6,1,7,0,3
UBC,2009,W,EECE,576,,101,SEMICON THY APPL,"Walus, Konrad",7,93,4.47,99,86,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
UBC,2010,W,EECE,202,,2P1,INT PROG PROJ II,"Chrostowski, Lukas;Stocco, Leo;Walus, Konrad;Yan, Joseph",55,68.87,13.18,91,14,50,5,0,0,0,0,1,0,0,4,5,1,2,2,11,10,10,5,4,3,2
UBC,2010,W,EECE,203,,2P1,BIOMED ENG PIP,"Chrostowski, Lukas;Stocco, Leo;Walus, Konrad;Yan, Joseph",10,72.6,11.63,87,45,9,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,3,1,1,0
UBC,2010,W,EECE,401,,101,NANOTEC ELETRNCS,"Walus, Konrad",20,78.6,12.44,97,53,20,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,4,2,4,1,5
UBC,2010,W,EECE,576,,101,SEMICON THY APPL,"Walus, Konrad",6,91,6.48,97,84,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
UBC,2012,W,EECE,300,,101,MOLCLS TO MECHNM,"Cheung, Karen;Walus, Konrad",17,67.06,10.36,81,43,15,2,0,0,0,0,0,0,0,2,2,0,0,2,3,3,2,4,1,0,0
UBC,2012,W,EECE,301,,201,NANOTEC & MICSYS,"Cheung, Karen;Walus, Konrad",19,66.88,18.49,85,9,16,1,2,0,0,1,0,0,0,0,1,2,1,0,3,2,2,0,5,1,0
UBC,2012,W,EECE,401,,101,NANOTEC ELETRNCS,"Walus, Konrad",18,72.06,16.82,99,38,17,1,0,0,0,0,0,0,1,0,1,2,2,0,1,2,1,3,2,1,3
UBC,2012,W,EECE,576,,201,SEMICON THY APPL,"Walus, Konrad",5,78,15.17,97,60,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1
UBC,2013,W,EECE,300,,201,MOLCLS TO MECHNM,"Walus, Konrad",15,73.4,15.16,97,38,14,1,0,0,0,0,0,0,1,0,1,0,1,2,0,1,4,3,0,0,3
UBC,2013,W,EECE,401,,101,NANOTEC ELETRNCS,"Walus, Konrad",17,77.88,15.91,100,37,16,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,4,0,1,3,5
UBC,2013,W,EECE,576,,201,SEMICON THY APPL,"Walus, Konrad",5,86.6,9.21,95,74,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
UBC,2014,W,EECE,364,,201,ELCMGNT FLDS&WVS,"Walus, Konrad",66,74.65,15.09,98,0,63,3,0,0,0,1,0,0,0,2,3,0,1,7,7,8,6,7,10,8,9
UBC,2014,W,EECE,576,,201,SEMICON THY APPL,"Walus, Konrad",6,84,8.58,97,76,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2
UBC,2015,W,EECE,576,,201,SEMICON THY APPL,"Walus, Konrad",6,85.33,4.55,92,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
UBC,2015,W,ELEC,311,,201,ELCMGNT FLDS&WVS,"Walus, Konrad",82,75.72,12.93,96,0,79,2,1,0,0,1,0,0,0,1,2,1,0,5,2,13,17,9,14,10,8
UBC,2015,W,ELEC,461,,101,NANOTEC ELETRNCS,"Walus, Konrad",20,69.11,16.85,96,33,17,2,1,0,0,0,0,0,1,1,2,2,1,3,0,1,2,1,4,0,3
UBC,2016,W,ELEC,311,,201,ELCMGNT FLDS&WVS,"Walus, Konrad",86,69.72,13.62,94,24,79,4,3,0,0,0,0,1,1,2,4,5,10,6,8,11,10,8,5,8,8
UBC,2016,W,ELEC,461,,201,NANOTEC ELETRNCS,"Walus, Konrad",22,73.95,15.73,98,35,19,1,0,0,2,0,0,0,1,0,1,2,1,0,0,3,2,4,1,3,3
UBC,2017,W,ELEC,311,,101,ELCMGNT FLDS&WVS,"Walus, Konrad",85,72.87,11.48,92,29,81,2,2,0,0,0,0,1,0,1,2,2,5,3,13,10,17,7,7,10,7
UBC,2017,W,ELEC,461,,101,NANOTEC ELETRNCS,"Walus, Konrad",17,78.12,10.33,93,58,17,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,1,6,1,3
