Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2003,W,BIOL,301,,201,BIOMATHEMATICS,"Otto, Sarah",43,75.46,11.98,96,42,38,1,1,3,0,0,0,0,0,1,1,0,2,2,3,6,7,2,7,3,6,,,
UBC,2005,W,BIOL,301,,201,BIOMATHEMATICS,"Otto, Sarah",43,78.52,10.3,98,45,41,1,0,0,1,0,0,0,0,1,1,0,1,0,1,4,8,8,7,6,6,,,
UBC,2005,W,BIOL,336,,201,EVOLUTIONARY GEN,"Otto, Sarah;Whitton, Jeannette",210,76.19,9.65,95,21,205,2,3,0,0,0,0,1,0,1,2,2,6,7,8,32,33,31,48,26,12,,,
UBC,2007,W,BIOL,301,,201,BIOMATHEMATICS,"Otto, Sarah",37,80.51,10.66,98,51,37,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,2,5,6,7,8,,,
UBC,2007,W,BIOL,509,,101,POP & QUANT GENE,"Otto, Sarah;Whitlock, Michael",21,84.38,5.8,92,72,8,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,,,
UBC,2009,W,BIOL,301,,201,BIOMATHEMATICS,"Otto, Sarah",38,79.79,10.4,98,60,38,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,12,6,7,,,
UBC,2010,W,BIOL,301,,101,BIOMATHEMATICS,"Otto, Sarah",43,80.67,11.76,97,46,38,1,3,0,1,0,0,0,0,1,1,0,1,2,1,3,3,4,6,9,9,,,
UBC,2012,W,BIOL,301,,101,BIOMATHEMATICS,"Otto, Sarah",42,83.29,9.55,99,58,38,0,3,1,0,0,0,0,0,0,0,0,1,0,1,2,3,5,8,8,10,,,
UBC,2013,W,BIOL,301,,101,BIOMATHEMATICS,"Otto, Sarah",45,80.16,12.01,97,30,44,1,0,0,0,0,0,0,1,0,1,1,0,2,0,1,7,3,13,7,10,,,
UBC,2014,W,BIOL,301,,101,BIOMATHEMATICS,"Otto, Sarah",36,81.38,11.93,97,42,33,1,1,1,0,0,0,0,0,1,1,0,1,2,0,1,3,1,9,8,8,,,
UBC,2015,W,BIOL,301,,101,BIOMATHEMATICS,"Otto, Sarah",32,83.84,10.45,98,50,31,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,4,5,8,10,,,
UBC,2017,W,BIOL,301,,101,BIOMATHEMATICS,"Otto, Sarah",40,84.28,9.75,99,62,39,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,1,4,7,9,12,,,
