Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2007,W,NEST,303,,001,HIST ANC EGYPT,"Schneider, Thomas",50,70.82,16.23,100,0,46,3,0,1,0,1,0,0,1,1,3,1,2,3,5,8,11,5,6,1,4,,,
UBC,2007,W,NEST,312,,001,RELIG ANCT EGYPT,"Schneider, Thomas",47,75.43,16.94,100,0,43,1,2,1,0,1,0,0,0,0,1,4,0,1,3,6,2,8,4,4,11,,,
UBC,2007,W,NEST,313,,001,INT MID EGYPTIAN,"Schneider, Thomas",13,72.55,15.83,98,38,10,1,1,1,0,0,0,0,1,0,1,0,1,0,1,2,0,2,3,0,1,,,
UBC,2007,W,NEST,502,B,001,WAR DIPL AN EGYP,"Schneider, Thomas",5,84.4,13.01,100,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,,,
UBC,2009,S,RELG,479,B,921,DIRECTED STUDIES,"Schneider, Thomas",4,80.5,8.23,90,70,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,,,
UBC,2009,W,NEST,303,,001,HIST ANC EGYPT,"Schneider, Thomas",45,66.55,17.13,94,0,42,2,1,0,0,2,0,0,0,0,2,3,2,7,5,10,7,2,1,4,1,,,
UBC,2009,W,NEST,313,,001,INT MID EGYPTIAN,"Schneider, Thomas",21,78.71,12.35,97,50,21,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,2,3,5,2,4,,,
UBC,2009,W,RELG,306,,001,ARCH AND BIBLE,"Schneider, Thomas",45,74.25,12.5,96,50,44,0,1,0,0,0,0,0,0,0,0,3,2,5,3,5,7,4,3,8,4,,,
UBC,2010,S,NEST,303,,001,HIST ANC EGYPT,"Schneider, Thomas",29,68.69,16.88,93,28,24,2,2,1,0,0,0,1,1,0,2,4,0,3,4,2,0,2,4,2,3,,,
UBC,2010,W,NEST,301,,001,ANCIENT NR EAST,"Schneider, Thomas",30,70.87,11.2,93,50,30,0,0,0,0,0,0,0,0,0,0,3,2,2,6,4,3,3,4,2,1,,,
UBC,2010,W,NEST,313,,001,INT MID EGYPTIAN,"Schneider, Thomas",29,71.57,16.6,93,26,25,3,1,0,0,0,0,1,1,1,3,1,0,2,3,2,1,6,4,5,1,,,
UBC,2010,W,NEST,500,A,001,STD NE ARCH BRNZ,"Schneider, Thomas",10,87.9,4.56,95,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,,,
UBC,2011,W,NEST,101,,001,NEAST&EGYPT ARCH,"Schneider, Thomas",57,70.57,14.2,94,46,54,2,1,0,0,0,0,0,0,2,2,8,5,2,7,6,3,3,9,5,6,,,
UBC,2011,W,NEST,101,,002,NEAST&EGYPT ARCH,"Schneider, Thomas",64,70.59,16.27,90,6,56,5,3,0,0,1,1,0,0,3,5,2,2,3,6,7,8,10,12,5,1,,,
UBC,2011,W,NEST,303,,001,HIST ANC EGYPT,"Schneider, Thomas",54,68.67,21.49,95,0,50,4,0,0,0,2,1,1,0,0,4,5,3,3,7,6,5,5,3,2,11,,,
UBC,2011,W,NEST,313,,001,INT MID EGYPTIAN,"Schneider, Thomas",23,77.87,10.11,94,60,23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3,1,4,2,5,,,
