Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,W,ECON,526,,001,PROBLTY & STAT,"Schrimpf, Paul",51,88.62,8.84,100,65,50,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,8,30
UBC,2012,W,ECON,326,,003,MTDS EMPIRC RESR,"Schrimpf, Paul",42,77,11.86,93,39,36,1,5,0,0,0,0,0,1,0,1,0,2,1,1,6,6,1,8,6,5
UBC,2012,W,ECON,526,,001,MATH FOR ECONMIC,"Schrimpf, Paul",43,82.51,6.9,96,70,41,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,12,7,7
UBC,2012,W,ECON,565,,001,MARKET STRUCTURE,"Schrimpf, Paul",17,84.07,7.52,100,74,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,2,3
UBC,2013,W,ECON,326,,003,MTDS EMPIRC RESR,"Schrimpf, Paul",62,77.92,16.41,96,0,57,2,3,0,0,1,0,1,0,0,2,1,1,0,5,5,6,5,11,12,11
UBC,2013,W,ECON,526,,001,MATH FOR ECONMIC,"Schrimpf, Paul",46,86.8,7.28,100,68,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,14,18
UBC,2013,W,ECON,565,,001,MARKET STRUCTURE,"Schrimpf, Paul",8,87.86,3.08,92,83,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2
UBC,2014,W,ECON,326,,003,MTDS EMPIRC RESR,"Schrimpf, Paul",48,82.72,8.82,97,58,47,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,6,4,9,13,10
UBC,2014,W,ECON,526,,001,MATH FOR ECONMIC,"Schrimpf, Paul",53,82.04,9.66,100,39,50,1,2,0,0,0,0,0,1,0,1,0,0,0,0,2,5,9,14,8,12
UBC,2014,W,ECON,565,,001,MARKET STRUCTURE,"Schrimpf, Paul",4,90.5,2.12,92,89,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UBC,2015,W,ECON,326,,003,MTDS EMPIRC RESR,"Schrimpf, Paul",47,80,9.46,93,54,45,0,2,0,0,0,0,0,0,0,0,1,2,0,2,3,5,5,9,11,7
UBC,2015,W,ECON,526,,001,MATH FOR ECONMIC,"Schrimpf, Paul",48,82.06,7.32,96,68,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,12,10,8
UBC,2015,W,ECON,565,,001,MARKET STRUCTURE,"Schrimpf, Paul",4,92.5,3.54,95,90,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
UBC,2016,W,ECON,326,,003,MTDS EMPIRC RESR,"Schrimpf, Paul",64,81.5,8.04,94,56,64,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,8,4,20,14,11
UBC,2016,W,ECON,526,,001,MATH FOR ECONMIC,"Schrimpf, Paul",46,83.36,8.73,96,52,45,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,3,8,10,8,13
UBC,2016,W,ECON,567,,001,ORG THRY&NON ALL,"Schrimpf, Paul",19,87.29,6.34,96,70,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,6,6
UBC,2017,W,ECON,326,,003,MTDS EMPIRC RESR,"Schrimpf, Paul",77,75.53,16.53,100,0,72,3,2,0,0,2,1,0,0,0,3,0,2,0,3,11,7,15,17,13,4
UBC,2017,W,ECON,526,,001,MATH FOR ECONMIC,"Schrimpf, Paul",45,83.66,5.06,92,71,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,14,17,5
UBC,2017,W,ECON,567,,001,ORG THRY&NON ALL,"Schrimpf, Paul",12,87.22,4.38,96,83,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2
UBC,2018,W,ECON,407,,001,TOPCS MACROECON,"Perla, Jesse;Schrimpf, Paul",20,92.6,4.62,100,84,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,14
UBC,2018,W,ECON,526,,001,MATH FOR ECONMIC,"Schrimpf, Paul",55,85.41,6.57,98,71,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,12,18,15
UBC,2018,W,ECON,628,,001,TPCS APP ECON I,"Perla, Jesse;Schrimpf, Paul",16,90.94,7.82,99,71,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,13
