Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBC,2002,W,COMM,399,,201,LOGISTIC/OPS MGT,"Krishnan, Harish",43,75.37,6.76,89,56,43,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,11,7,10,3,0,,,
UBC,2002,W,COMM,399,,202,LOGISTIC/OPS MGT,"Krishnan, Harish",32,76.66,6.27,90,61,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,9,6,3,1,,,
UBC,2002,W,COMM,399,,203,LOGISTIC/OPS MGT,"Krishnan, Harish",30,74.6,7.65,88,59,30,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,5,10,7,1,0,,,
UBC,2003,W,COMM,399,,101,LOGISTIC/OPS MGT,"Krishnan, Harish",48,77,8.18,89,50,48,0,0,0,0,0,0,0,0,0,0,1,0,1,6,2,10,7,12,9,0,,,
UBC,2003,W,COMM,399,,102,LOGISTIC/OPS MGT,"Krishnan, Harish",51,75.86,7.94,88,56,51,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,12,11,9,9,0,,,
UBC,2005,W,COMM,399,,101,LOGISTIC/OPS MGT,"Krishnan, Harish",51,78.18,9.11,90,50,51,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,4,6,21,8,2,,,
UBC,2005,W,COMM,399,,102,LOGISTIC/OPS MGT,"Krishnan, Harish",47,77.15,8.09,90,50,47,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,11,9,8,10,1,,,
UBC,2006,W,BASC,500,,001,INTR LGSTCS&OPRT,"Krishnan, Harish",34,80.79,5.71,92,71,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,12,8,1,,,
UBC,2006,W,COMM,399,,102,LOGISTIC/OPS MGT,"Krishnan, Harish",56,76.02,9.99,89,33,55,1,0,0,0,0,0,0,1,0,1,1,2,0,3,8,8,7,13,13,0,,,
UBC,2007,W,BASC,500,,001,INTR LGSTCS&OPRT,"Krishnan, Harish",47,80.4,5.58,91,65,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,14,14,9,2,,,
UBC,2007,W,BASC,500,,306,INTR LGSTCS&OPRT,"Krishnan, Harish",10,81.5,6.17,89,72,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,,,
