Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2002,W,FRST,100,,201,INTR TO FORESTRY,"Haley, David",73,63.75,17.73,88,7,60,11,2,0,0,2,0,3,2,4,11,3,6,8,6,9,8,10,7,3,0
UBC,2002,W,FRST,318,,201,FORESTRY ECON,"Haley, David",53,74.81,12.97,98,45,50,2,0,0,1,0,0,0,0,2,2,1,6,4,3,3,4,9,6,8,6
UBC,2002,W,FRST,319,,99A,PRIN FRST ECON,"Haley, David",8,66.71,22.65,88,36,5,2,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,3,1,0
UBC,2002,W,FRST,319,,GIS,PRIN FRST ECON,"Haley, David",4,54,44.11,97,0,2,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1
UBC,2003,W,FRST,100,,201,INTR TO FORESTRY,"Haley, David",95,66.57,22.82,93,0,75,19,1,0,0,4,1,4,5,5,19,0,2,6,4,8,13,13,12,11,6
UBC,2003,W,FRST,318,,201,FORESTRY ECON,"Haley, David",53,76.63,14.62,97,13,46,2,5,0,0,0,1,0,1,0,2,0,2,0,1,11,3,7,6,10,6
UBC,2003,W,FRST,319,,99A,PRIN FRST ECON,"Haley, David",4,52,0,52,52,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UBC,2003,W,FRST,319,,99C,PRIN FRST ECON,"Haley, David",4,,,,,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2003,W,FRST,319,,GIS,PRIN FRST ECON,"Haley, David",9,73.5,7.56,83,65,6,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0
UBC,2005,W,FRST,319,,99A,PRIN FRST ECON,"Haley, David",11,60.7,28.04,88,0,8,2,1,0,0,1,0,0,1,0,2,1,1,0,2,0,0,0,2,2,0
UBC,2005,W,FRST,319,,GIS,PRIN FRST ECON,"Haley, David",6,71,23.37,95,32,5,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,2
